region;distance;urban;year;amount
Västerbottens län;500;utanför tätort;2016;6166
Västerbottens län;500;utanför tätort;2017;6298
Västerbottens län;500;utanför tätort;2018;8357
Västerbottens län;500;utanför tätort;2019;8055
Västerbottens län;500;utanför tätort;2020;7898
Västerbottens län;1000;inom tätort;2014;183144
Västerbottens län;1000;inom tätort;2015;196731
Västerbottens län;1000;inom tätort;2016;198492
Västerbottens län;1000;inom tätort;2017;200471
Västerbottens län;1000;inom tätort;2018;207652
Västerbottens län;1000;inom tätort;2019;208857
Västerbottens län;1000;inom tätort;2020;210973
Västerbottens län;1000;utanför tätort;2014;11181
Västerbottens län;1000;utanför tätort;2015;11751
Västerbottens län;1000;utanför tätort;2016;12066
Västerbottens län;1000;utanför tätort;2017;12111
Västerbottens län;1000;utanför tätort;2018;15445
Västerbottens län;1000;utanför tätort;2019;15304
Västerbottens län;1000;utanför tätort;2020;14665
Västerbottens län;2000;inom tätort;2014;201859
Västerbottens län;2000;inom tätort;2015;206401
Västerbottens län;2000;inom tätort;2016;208701
Västerbottens län;2000;inom tätort;2017;209997
Västerbottens län;2000;inom tätort;2018;214194
Västerbottens län;2000;inom tätort;2019;215039
Västerbottens län;2000;inom tätort;2020;216611
Västerbottens län;2000;utanför tätort;2014;19410
Västerbottens län;2000;utanför tätort;2015;19814
Västerbottens län;2000;utanför tätort;2016;20104
Västerbottens län;2000;utanför tätort;2017;19451
Västerbottens län;2000;utanför tätort;2018;24211
Västerbottens län;2000;utanför tätort;2019;24233
Västerbottens län;2000;utanför tätort;2020;23388
Norrbottens län;400;inom tätort;2014;134494
Norrbottens län;400;inom tätort;2015;135483
Norrbottens län;400;inom tätort;2016;144880
Norrbottens län;400;inom tätort;2017;145507
Norrbottens län;400;inom tätort;2018;155773
Norrbottens län;400;inom tätort;2019;156755
Norrbottens län;400;inom tätort;2020;156042
Norrbottens län;400;utanför tätort;2014;2465
Norrbottens län;400;utanför tätort;2015;2637
Norrbottens län;400;utanför tätort;2016;3286
Norrbottens län;400;utanför tätort;2017;3485
Norrbottens län;400;utanför tätort;2018;5154
Norrbottens län;400;utanför tätort;2019;5650
Norrbottens län;400;utanför tätort;2020;5134
Norrbottens län;500;inom tätort;2014;149088
Norrbottens län;500;inom tätort;2015;149497
Norrbottens län;500;inom tätort;2016;159512
Norrbottens län;500;inom tätort;2017;160043
Norrbottens län;500;inom tätort;2018;170204
Norrbottens län;500;inom tätort;2019;171261
Norrbottens län;500;inom tätort;2020;170192
Norrbottens län;500;utanför tätort;2014;3019
Norrbottens län;500;utanför tätort;2015;3229
Norrbottens län;500;utanför tätort;2016;4025
Norrbottens län;500;utanför tätort;2017;4270
Norrbottens län;500;utanför tätort;2018;6320
Norrbottens län;500;utanför tätort;2019;7004
Norrbottens län;500;utanför tätort;2020;6197
Norrbottens län;1000;inom tätort;2014;174914
Norrbottens län;1000;inom tätort;2015;172502
Norrbottens län;1000;inom tätort;2016;184863
Norrbottens län;1000;inom tätort;2017;185413
Norrbottens län;1000;inom tätort;2018;193686
Norrbottens län;1000;inom tätort;2019;193814
Norrbottens län;1000;inom tätort;2020;193350
Norrbottens län;1000;utanför tätort;2014;6546
Norrbottens län;1000;utanför tätort;2015;6851
Norrbottens län;1000;utanför tätort;2016;7459
Norrbottens län;1000;utanför tätort;2017;7814
Norrbottens län;1000;utanför tätort;2018;11065
Norrbottens län;1000;utanför tätort;2019;12213
Norrbottens län;1000;utanför tätort;2020;10419
Norrbottens län;2000;inom tätort;2014;186029
Norrbottens län;2000;inom tätort;2015;184935
Norrbottens län;2000;inom tätort;2016;194968
Norrbottens län;2000;inom tätort;2017;195476
Norrbottens län;2000;inom tätort;2018;200847
Norrbottens län;2000;inom tätort;2019;200212
Norrbottens län;2000;inom tätort;2020;200684
Norrbottens län;2000;utanför tätort;2014;10527
Norrbottens län;2000;utanför tätort;2015;11262
Norrbottens län;2000;utanför tätort;2016;11820
Norrbottens län;2000;utanför tätort;2017;12284
Norrbottens län;2000;utanför tätort;2018;17189
Norrbottens län;2000;utanför tätort;2019;18682
Norrbottens län;2000;utanför tätort;2020;16229
