region;type;year;amount
Norrbottens län;flerbostadshus;2018;767
Norrbottens län;flerbostadshus;2019;1270
Norrbottens län;flerbostadshus;2020;672
Norrbottens län;flerbostadshus;2021;1011
Norrbottens län;småhus;1975;2320
Norrbottens län;småhus;1976;2530
Norrbottens län;småhus;1977;2319
Norrbottens län;småhus;1978;1952
Norrbottens län;småhus;1979;1355
Norrbottens län;småhus;1980;1245
Norrbottens län;småhus;1981;962
Norrbottens län;småhus;1982;798
Norrbottens län;småhus;1983;586
Norrbottens län;småhus;1984;670
Norrbottens län;småhus;1985;599
Norrbottens län;småhus;1986;638
Norrbottens län;småhus;1987;536
Norrbottens län;småhus;1988;629
Norrbottens län;småhus;1989;690
Norrbottens län;småhus;1990;666
Norrbottens län;småhus;1991;862
Norrbottens län;småhus;1992;545
Norrbottens län;småhus;1993;429
Norrbottens län;småhus;1994;135
Norrbottens län;småhus;1995;117
Norrbottens län;småhus;1996;55
Norrbottens län;småhus;1997;65
Norrbottens län;småhus;1998;45
Norrbottens län;småhus;1999;40
Norrbottens län;småhus;2000;70
Norrbottens län;småhus;2001;103
Norrbottens län;småhus;2002;71
Norrbottens län;småhus;2003;127
Norrbottens län;småhus;2004;112
Norrbottens län;småhus;2005;101
Norrbottens län;småhus;2006;171
Norrbottens län;småhus;2007;195
Norrbottens län;småhus;2008;86
Norrbottens län;småhus;2009;72
Norrbottens län;småhus;2010;132
Norrbottens län;småhus;2011;83
Norrbottens län;småhus;2012;150
Norrbottens län;småhus;2013;130
Norrbottens län;småhus;2014;162
Norrbottens län;småhus;2015;232
Norrbottens län;småhus;2016;216
Norrbottens län;småhus;2017;235
Norrbottens län;småhus;2018;205
Norrbottens län;småhus;2019;196
Norrbottens län;småhus;2020;219
Norrbottens län;småhus;2021;187
